1 30 584 8 1 9 5 41 1 30 9 6 3 11 3 30 2 31 3 4 6 43 5 14 10 48 7 49 6 2 1 2 8 28 6 33 5 37 2 25 7 5 5 28 1 40 8 26 3 35 1 33 10 26 4 7 1 43 7 9 6 28 4
2 30 631 31 10 32 8 9 10 3 9 42 1 18 3 33 8 9 9 27 3 10 7 18 3 43 6 48 7 48 10 11 6 44 6 42 2 11 10 22 6 4 4 4 3 33 7 36 8 13 1 49 5 31 8 23 8 38 7 16 8 41 1
3 30 665 38 2 7 6 35 8 24 9 37 6 17 2 31 4 46 4 9 8 6 4 7 5 29 4 35 9 37 2 48 7 3 4 50 4 40 3 5 7 20 3 47 6 16 10 47 6 22 7 32 10 49 3 11 6 41 8 39 8 4 9
4 30 615 31 5 6 8 39 2 45 8 46 1 44 7 21 6 10 3 21 2 32 2 38 3 20 9 40 8 31 1 5 5 10 10 28 8 32 7 24 9 20 8 7 8 39 6 4 4 48 3 7 7 23 3 40 3 22 7 3 9 33 6
5 30 634 12 7 33 9 17 1 33 2 29 6 41 7 13 4 6 6 26 9 49 8 33 9 30 4 35 9 24 4 22 4 15 9 9 6 47 2 50 8 14 6 20 6 49 10 23 10 10 10 44 6 22 2 12 3 15 5 12 5 48 3
6 30 593 21 3 48 1 46 4 34 10 43 2 4 4 20 8 5 2 36 6 15 9 19 7 27 9 23 10 18 1 4 9 6 6 17 4 27 3 23 7 8 3 27 3 50 3 23 8 5 2 40 2 25 9 42 1 24 1 41 9 21 5
7 30 552 43 9 6 10 36 5 41 7 23 3 12 4 15 5 13 10 45 10 34 5 16 2 4 3 20 2 6 6 41 9 17 5 22 8 22 8 41 4 36 1 14 2 23 10 15 6 6 3 31 5 12 9 19 10 20 10 32 5 25 1
8 30 568 1 10 13 3 17 4 34 10 15 3 50 4 16 1 1 10 29 7 16 10 9 2 15 6 46 9 3 3 41 1 3 1 13 10 16 4 30 1 14 2 38 9 45 10 17 1 40 5 45 4 13 3 32 1 49 4 33 1 17 5
9 30 671 16 4 50 9 1 3 47 6 25 1 8 6 36 8 42 6 18 1 49 7 6 8 28 2 32 9 44 5 20 3 42 5 26 3 17 8 37 2 8 7 44 10 30 9 9 6 23 2 45 7 46 5 16 10 19 10 30 7 25 7
10 30 691 34 8 30 2 48 2 12 3 27 2 25 10 24 2 21 2 22 2 26 6 15 3 20 10 22 5 39 2 41 4 39 10 35 7 45 8 9 9 3 9 40 5 21 1 19 7 22 9 37 4 8 8 42 6 44 2 48 2 46 8
