instance;sol#
uf20-01000;1
uf20-0100;4
uf20-0101;6
uf20-0102;6
uf20-0103;1
uf20-0104;27
uf20-0105;1
uf20-0106;1
uf20-0107;1
uf20-0108;4
uf20-0109;2
uf20-010;9
uf20-0110;55
uf20-0111;14
uf20-0112;7
uf20-0113;1
uf20-0114;13
uf20-0115;8
uf20-0116;3
uf20-0117;2
uf20-0118;40
uf20-0119;3
uf20-011;30
uf20-0120;17
uf20-0121;8
uf20-0122;3
uf20-0123;2
uf20-0124;58
uf20-0125;20
uf20-0126;6
uf20-0127;24
uf20-0128;6
uf20-0129;7
uf20-012;83
uf20-0130;6
uf20-0131;127
uf20-0132;1
uf20-0133;5
uf20-0134;19
uf20-0135;2
uf20-0136;6
uf20-0137;59
uf20-0138;3
uf20-0139;25
uf20-013;4
uf20-0140;5
uf20-0141;1
uf20-0142;16
uf20-0143;45
uf20-0144;42
uf20-0145;12
uf20-0146;7
uf20-0147;2
uf20-0148;3
uf20-0149;16
uf20-014;6
uf20-0150;10
uf20-0151;6
uf20-0152;17
uf20-0153;65
uf20-0154;1
uf20-0155;34
uf20-0156;8
uf20-0157;6
uf20-0158;14
uf20-0159;7
uf20-015;17
uf20-0160;2
uf20-0161;10
uf20-0162;44
uf20-0163;22
uf20-0164;39
uf20-0165;24
uf20-0166;4
uf20-0167;2
uf20-0168;4
uf20-0169;15
uf20-016;5
uf20-0170;8
uf20-0171;11
uf20-0172;1
uf20-0173;6
uf20-0174;6
uf20-0175;5
uf20-0176;1
uf20-0177;3
uf20-0178;8
uf20-0179;9
uf20-017;4
uf20-0180;2
uf20-0181;9
uf20-0182;7
uf20-0183;3
uf20-0184;10
uf20-0185;1
uf20-0186;6
uf20-0187;23
uf20-0188;6
uf20-0189;7
uf20-018;1
uf20-0190;26
uf20-0191;2
uf20-0192;2
uf20-0193;2
uf20-0194;15
uf20-0195;36
uf20-0196;4
uf20-0197;1
uf20-0198;3
uf20-0199;8
uf20-019;2
uf20-01;8
uf20-0200;6
uf20-0201;6
uf20-0202;5
uf20-0203;2
uf20-0204;9
uf20-0205;12
uf20-0206;9
uf20-0207;2
uf20-0208;37
uf20-0209;2
uf20-020;7
uf20-0210;66
uf20-0211;10
uf20-0212;19
uf20-0213;5
uf20-0214;1
uf20-0215;27
uf20-0216;4
uf20-0217;14
uf20-0218;34
uf20-0219;1
uf20-021;2
uf20-0220;7
uf20-0221;8
uf20-0222;3
uf20-0223;3
uf20-0224;2
uf20-0225;3
uf20-0226;34
uf20-0227;9
uf20-0228;3
uf20-0229;24
uf20-022;4
uf20-0230;20
uf20-0231;1
uf20-0232;2
uf20-0233;7
uf20-0234;12
uf20-0235;9
uf20-0236;2
uf20-0237;19
uf20-0238;4
uf20-0239;7
uf20-023;8
uf20-0240;6
uf20-0241;11
uf20-0242;33
uf20-0243;6
uf20-0244;4
uf20-0245;2
uf20-0246;76
uf20-0247;1
uf20-0248;1
uf20-0249;10
uf20-024;2
uf20-0250;21
uf20-0251;3
uf20-0252;18
uf20-0253;3
uf20-0254;11
uf20-0255;8
uf20-0256;46
uf20-0257;8
uf20-0258;11
uf20-0259;14
uf20-025;1
uf20-0260;1
uf20-0261;4
uf20-0262;2
uf20-0263;3
uf20-0264;3
uf20-0265;11
uf20-0266;3
uf20-0267;6
uf20-0268;40
uf20-0269;20
uf20-026;2
uf20-0270;1
uf20-0271;32
uf20-0272;13
uf20-0273;15
uf20-0274;5
uf20-0275;178
uf20-0276;13
uf20-0277;13
uf20-0278;2
uf20-0279;3
uf20-027;9
uf20-0280;3
uf20-0281;47
uf20-0282;6
uf20-0283;22
uf20-0284;6
uf20-0285;3
uf20-0286;2
uf20-0287;2
uf20-0288;6
uf20-0289;3
uf20-028;6
uf20-0290;1
uf20-0291;11
uf20-0292;8
uf20-0293;25
uf20-0294;4
uf20-0295;2
uf20-0296;15
uf20-0297;5
uf20-0298;6
uf20-0299;5
uf20-029;1
uf20-02;29
uf20-0300;8
uf20-0301;1
uf20-0302;8
uf20-0303;3
uf20-0304;12
uf20-0305;16
uf20-0306;17
uf20-0307;32
uf20-0308;4
uf20-0309;53
uf20-030;30
uf20-0310;3
uf20-0311;5
uf20-0312;1
uf20-0313;3
uf20-0314;15
uf20-0315;11
uf20-0316;3
uf20-0317;6
uf20-0318;6
uf20-0319;5
uf20-031;1
uf20-0320;10
