instance;sol#
uf20-01000;30
uf20-0100;90
uf20-0101;76
uf20-0102;129
uf20-0103;49
uf20-0104;82
uf20-0105;60
uf20-0106;40
uf20-0107;37
uf20-0108;50
uf20-0109;57
uf20-010;169
uf20-0110;241
uf20-0111;67
uf20-0112;177
uf20-0113;22
uf20-0114;69
uf20-0115;177
uf20-0116;63
uf20-0117;115
uf20-0118;218
uf20-0119;61
uf20-011;201
uf20-0120;80
uf20-0121;52
uf20-0122;82
uf20-0123;33
uf20-0124;260
uf20-0125;157
uf20-0126;79
uf20-0127;186
uf20-0128;94
uf20-0129;64
uf20-012;317
uf20-0130;36
uf20-0131;456
uf20-0132;60
uf20-0133;69
uf20-0134;315
uf20-0135;42
uf20-0136;78
uf20-0137;244
uf20-0138;29
uf20-0139;223
uf20-013;34
uf20-0140;34
uf20-0141;183
uf20-0142;121
uf20-0143;246
uf20-0144;181
uf20-0145;120
uf20-0146;71
uf20-0147;64
uf20-0148;47
uf20-0149;100
uf20-014;116
uf20-0150;124
uf20-0151;92
uf20-0152;123
uf20-0153;437
uf20-0154;32
uf20-0155;200
uf20-0156;117
uf20-0157;238
uf20-0158;337
uf20-0159;154
uf20-015;141
uf20-0160;62
uf20-0161;78
uf20-0162;281
uf20-0163;167
uf20-0164;251
uf20-0165;153
uf20-0166;39
uf20-0167;79
uf20-0168;40
uf20-0169;158
uf20-016;112
uf20-0170;123
uf20-0171;80
uf20-0172;44
uf20-0173;60
uf20-0174;60
uf20-0175;41
uf20-0176;52
uf20-0177;77
uf20-0178;94
uf20-0179;144
uf20-017;102
uf20-0180;26
uf20-0181;63
uf20-0182;140
uf20-0183;28
uf20-0184;59
uf20-0185;28
uf20-0186;152
uf20-0187;134
uf20-0188;129
uf20-0189;70
uf20-018;36
uf20-0190;245
uf20-0191;94
uf20-0192;253
uf20-0193;76
uf20-0194;58
uf20-0195;267
uf20-0196;305
uf20-0197;80
uf20-0198;41
uf20-0199;212
uf20-019;28
uf20-01;58
uf20-0200;44
uf20-0201;87
uf20-0202;97
uf20-0203;171
uf20-0204;90
uf20-0205;143
uf20-0206;80
uf20-0207;52
uf20-0208;163
uf20-0209;111
uf20-020;119
uf20-0210;312
uf20-0211;81
uf20-0212;46
uf20-0213;60
uf20-0214;54
uf20-0215;198
uf20-0216;90
uf20-0217;82
uf20-0218;179
uf20-0219;59
uf20-021;30
uf20-0220;139
uf20-0221;61
uf20-0222;58
uf20-0223;45
uf20-0224;34
uf20-0225;86
uf20-0226;226
uf20-0227;142
uf20-0228;56
uf20-0229;74
uf20-022;61
uf20-0230;87
uf20-0231;22
uf20-0232;63
uf20-0233;99
uf20-0234;154
uf20-0235;73
uf20-0236;20
uf20-0237;75
uf20-0238;148
uf20-0239;129
uf20-023;46
uf20-0240;103
uf20-0241;112
uf20-0242;103
uf20-0243;62
uf20-0244;50
uf20-0245;83
uf20-0246;212
uf20-0247;25
uf20-0248;180
uf20-0249;93
uf20-024;50
uf20-0250;139
uf20-0251;43
uf20-0252;63
uf20-0253;55
uf20-0254;65
uf20-0255;54
uf20-0256;230
uf20-0257;102
uf20-0258;185
uf20-0259;81
uf20-025;148
uf20-0260;61
uf20-0261;59
uf20-0262;42
uf20-0263;47
uf20-0264;55
uf20-0265;247
uf20-0266;79
uf20-0267;92
uf20-0268;116
uf20-0269;348
uf20-026;127
uf20-0270;62
uf20-0271;207
uf20-0272;124
uf20-0273;169
uf20-0274;73
uf20-0275;537
uf20-0276;99
uf20-0277;85
uf20-0278;70
uf20-0279;45
uf20-027;267
uf20-0280;102
uf20-0281;223
uf20-0282;73
uf20-0283;145
uf20-0284;43
uf20-0285;40
uf20-0286;58
uf20-0287;38
uf20-0288;66
uf20-0289;51
uf20-028;101
uf20-0290;68
uf20-0291;59
uf20-0292;161
uf20-0293;197
uf20-0294;31
uf20-0295;52
uf20-0296;151
uf20-0297;108
uf20-0298;144
uf20-0299;98
uf20-029;45
uf20-02;165
uf20-0300;129
uf20-0301;67
uf20-0302;50
uf20-0303;30
uf20-0304;80
uf20-0305;170
uf20-0306;115
uf20-0307;89
uf20-0308;130
uf20-0309;243
uf20-030;125
uf20-0310;41
uf20-0311;78
uf20-0312;25
uf20-0313;34
uf20-0314;144
uf20-0315;88
uf20-0316;89
uf20-0317;88
uf20-0318;56
uf20-0319;52
uf20-031;105
uf20-0320;54
uf20-0321;72
uf20-0322;32
uf20-0323;51
uf20-0324;38
uf20-0325;62
uf20-0326;63
uf20-0327;281
uf20-0328;29
uf20-0329;35
uf20-032;87
uf20-0330;41
uf20-0331;103
uf20-0332;34
uf20-0333;85
uf20-0334;67
uf20-0335;117
uf20-0336;92
uf20-0337;75
uf20-0338;28
uf20-0339;104
uf20-033;62
uf20-0340;67
uf20-0341;494
uf20-0342;40
uf20-0343;61
uf20-0344;21
uf20-0345;80
uf20-0346;102
uf20-0347;113
uf20-0348;49
uf20-0349;71
uf20-034;203
uf20-0350;50
uf20-0351;47
uf20-0352;52
uf20-0353;81
uf20-0354;46
uf20-0355;153
uf20-0356;63
uf20-0357;58
uf20-0358;114
uf20-0359;154
uf20-035;22
uf20-0360;196
uf20-0361;64
uf20-0362;140
uf20-0363;70
uf20-0364;24
uf20-0365;179
uf20-0366;61
uf20-0367;123
uf20-0368;75
uf20-0369;22
uf20-036;120
uf20-0370;285
uf20-0371;46
uf20-0372;279
uf20-0373;262
uf20-0374;34
uf20-0375;302
uf20-0376;56
uf20-0377;99
uf20-0378;68
uf20-0379;94
uf20-037;106
uf20-0380;210
uf20-0381;113
uf20-0382;88
uf20-0383;63
uf20-0384;110
uf20-0385;268
uf20-0386;53
uf20-0387;277
uf20-0388;75
uf20-0389;64
uf20-038;205
uf20-0390;67
uf20-0391;166
uf20-0392;134
uf20-0393;108
uf20-0394;55
uf20-0395;268
uf20-0396;77
uf20-0397;82
uf20-0398;41
uf20-0399;117
uf20-039;120
uf20-03;81
uf20-0400;48
uf20-0401;453
uf20-0402;51
uf20-0403;125
uf20-0404;116
uf20-0405;122
uf20-0406;129
uf20-0407;258
uf20-0408;164
uf20-0409;46
uf20-040;63
uf20-0410;104
uf20-0411;55
uf20-0412;178
uf20-0413;84
uf20-0414;56
uf20-0415;72
uf20-0416;264
uf20-0417;312
uf20-0418;306
uf20-0419;85
uf20-041;100
uf20-0420;34
uf20-0421;139
uf20-0422;28
uf20-0423;87
uf20-0424;33
uf20-0425;104
