instance;sol#
uf100-01000;1947108966
uf100-0100;4674743804
uf100-0101;24204443127
uf100-0102;5628157493
uf100-0103;13150524204
uf100-0104;3764998415
uf100-0105;3693404635
uf100-0106;18774608279
uf100-0107;9957753360
uf100-0108;11702399816
uf100-0109;66863449
uf100-010;50883142267
uf100-0110;1061917745
uf100-0111;11352027704
uf100-0112;28372565082
uf100-0113;279369096
uf100-0114;3448060596
uf100-0115;60984865908
uf100-0116;1715362353
uf100-0117;1883805757
uf100-0118;5529383111
uf100-0119;356522957702
uf100-011;261575781
uf100-0120;1622737915
uf100-0121;1662705961
uf100-0122;1271400222
uf100-0123;107186917
uf100-0124;66627267939
uf100-0125;26596754358
uf100-0126;1828283508
uf100-0127;3266257439
uf100-0128;8601547729
uf100-0129;2885884554
uf100-012;8820943618
uf100-0130;3493892191
uf100-0131;5249094905
uf100-0132;21000406326
uf100-0133;312069610
uf100-0134;3020499982
uf100-0135;5446759299
uf100-0136;40666569177
uf100-0137;1640872188
uf100-0138;11059492278
uf100-0139;6983447111
uf100-013;978185579
uf100-0140;222920483490
uf100-0141;51494004
uf100-0142;951527004
uf100-0143;59510477984
uf100-0144;25800573086
uf100-0145;755519982
uf100-0146;1506971629
uf100-0147;433762628371
uf100-0148;3108947087
uf100-0149;40343321412
uf100-014;74714050141
uf100-0150;80671397069
uf100-0151;8043548360
uf100-0152;97232881561
uf100-0153;36684447615
uf100-0154;4754042281
uf100-0155;2730745864
uf100-0156;3931185930
uf100-0157;470130618
uf100-0158;14033080403
uf100-0159;16101505
uf100-015;2813112536
uf100-0160;42424235048
uf100-0161;34307487538
uf100-0162;9112048118
uf100-0163;20464994800
uf100-0164;163699716512
uf100-0165;3059555538
uf100-0166;1639114292
uf100-0167;39339414179
uf100-0168;19582835707
uf100-0169;403835667
uf100-016;30502305158
uf100-0170;54794636
uf100-0171;7807637587
uf100-0172;789278339
uf100-0173;162510237
uf100-0174;16711627827
uf100-0175;1179167608
uf100-0176;129317857627
uf100-0177;19019103465
uf100-0178;8921278832
uf100-0179;1354022319
uf100-017;3822508781
uf100-0180;21730250922
uf100-0181;3359123614
uf100-0182;10301269045
uf100-0183;13600765
uf100-0184;2780434506
uf100-0185;9477864536
uf100-0186;21547827237
uf100-0187;462106843
uf100-0188;50937382513
uf100-0189;45377621237
uf100-018;12605380995
uf100-0190;10545803908
uf100-0191;634003989
uf100-0192;18948210451
uf100-0193;11071080006
uf100-0194;2950652495
uf100-0195;6324188756
uf100-0196;12475215294
uf100-0197;76579027581
uf100-0198;40792512775
uf100-0199;7817672668
uf100-019;12370984463
uf100-01;3507823075
uf100-0200;28191924715
uf100-0201;15827545811
uf100-0202;67002773501
uf100-0203;23476725161
uf100-0204;22359351155
uf100-0205;310216794
uf100-0206;14685890344
uf100-0207;79969531758
uf100-0208;77257400008
uf100-0209;96895094180
uf100-020;226270341
uf100-0210;3865498058
uf100-0211;12796888199
uf100-0212;9356866140
uf100-0213;6440221644
uf100-0214;4737060730
uf100-0215;8955113585
uf100-0216;353521954778
uf100-0217;6114426715
uf100-0218;10765627586
uf100-0219;11285935836
