instance;sol#
uf50-01000;2684873
uf50-0100;1721520
uf50-0101;1002360
uf50-0102;1384907
uf50-0103;7004400
uf50-0104;2982624
uf50-0105;3202960
uf50-0106;6870721
uf50-0107;4305424
uf50-0108;3079507
uf50-0109;7357511
uf50-010;1411028
uf50-0110;2969651
uf50-0111;4666169
uf50-0112;2219143
uf50-0113;3246725
uf50-0114;2717333
uf50-0115;4017402
uf50-0116;6838177
uf50-0117;39765742
uf50-0118;6561292
uf50-0119;1022245
uf50-011;932986
uf50-0120;6471946
uf50-0121;2786288
uf50-0122;1925357
uf50-0123;484880
uf50-0124;6503107
uf50-0125;1167712
uf50-0126;7820227
uf50-0127;2322041
uf50-0128;1264089
uf50-0129;2175656
uf50-012;229562
uf50-0130;7409623
uf50-0131;4981169
uf50-0132;2746751
uf50-0133;114918
uf50-0134;1400005
uf50-0135;2988057
uf50-0136;8500862
uf50-0137;4905013
uf50-0138;10144028
uf50-0139;343972
uf50-013;3200691
uf50-0140;3103743
uf50-0141;15041844
uf50-0142;5093076
uf50-0143;514698
uf50-0144;985474
uf50-0145;1154983
uf50-0146;1235986
uf50-0147;3361953
uf50-0148;996422
uf50-0149;2776161
uf50-014;765594
uf50-0150;4980799
uf50-0151;1503741
uf50-0152;1116644
uf50-0153;1180957
uf50-0154;2505682
uf50-0155;2028863
uf50-0156;4004998
uf50-0157;5147639
uf50-0158;3865673
uf50-0159;6594029
uf50-015;3030636
uf50-0160;4877588
uf50-0161;16371916
uf50-0162;2496945
uf50-0163;5169641
uf50-0164;2088901
uf50-0165;5282694
uf50-0166;2222708
uf50-0167;1429196
uf50-0168;7791905
uf50-0169;21051605
uf50-016;821992
uf50-0170;2065879
uf50-0171;6826421
uf50-0172;1092193
uf50-0173;1611189
uf50-0174;3617610
uf50-0175;660184
uf50-0176;3303684
uf50-0177;2568495
uf50-0178;28148424
uf50-0179;2269018
uf50-017;2279813
uf50-0180;3054697
uf50-0181;1288636
uf50-0182;1962840
uf50-0183;12054135
uf50-0184;6277615
uf50-0185;1942994
uf50-0186;831998
uf50-0187;1178290
uf50-0188;1636145
uf50-0189;6492047
uf50-018;8735930
uf50-0190;4873274
uf50-0191;788243
uf50-0192;4383070
uf50-0193;981458
uf50-0194;3439392
uf50-0195;2053577
uf50-0196;5710870
uf50-0197;1518261
uf50-0198;4333884
uf50-0199;5611896
uf50-019;3065449
uf50-01;2312782
uf50-0200;3460362
uf50-0201;5927887
uf50-0202;5494142
uf50-0203;1720989
uf50-0204;2961813
uf50-0205;3974368
uf50-0206;6104146
uf50-0207;2260665
uf50-0208;1447523
uf50-0209;3313818
uf50-020;4280048
uf50-0210;4108472
uf50-0211;1033464
uf50-0212;4205084
uf50-0213;6915287
uf50-0214;3114178
uf50-0215;4468336
uf50-0216;1565896
uf50-0217;1693409
uf50-0218;9379784
uf50-0219;1156720
uf50-021;7261008
uf50-0220;4788282
uf50-0221;2825300
uf50-0222;5261368
uf50-0223;2841642
uf50-0224;8949193
uf50-0225;765048
uf50-0226;1517708
uf50-0227;4747350
uf50-0228;2646900
uf50-0229;2515924
uf50-022;4082658
uf50-0230;2955455
uf50-0231;2380427
uf50-0232;5231580
uf50-0233;2043696
uf50-0234;5430364
uf50-0235;2774308
uf50-0236;14160920
uf50-0237;12692968
uf50-0238;10785123
uf50-0239;13431321
uf50-023;2378408
uf50-0240;1184016
uf50-0241;436596
uf50-0242;3585943
uf50-0243;4764471
uf50-0244;8351877
uf50-0245;13557241
uf50-0246;1062683
uf50-0247;4384588
uf50-0248;2116684
uf50-0249;1917579
uf50-024;324196
uf50-0250;14578083
uf50-0251;4534642
uf50-0252;12166772
uf50-0253;2693463
uf50-0254;5594885
uf50-0255;6792097
uf50-0256;5852957
uf50-0257;3302889
uf50-0258;595881
uf50-0259;5134487
uf50-025;13949598
uf50-0260;22710296
uf50-0261;5359592
uf50-0262;5426274
uf50-0263;559514
uf50-0264;8671284
uf50-0265;1955242
uf50-0266;588744
uf50-0267;565872
uf50-0268;826407
uf50-0269;3255355
uf50-026;3489254
uf50-0270;2100297
uf50-0271;7026906
uf50-0272;3996066
uf50-0273;13339262
uf50-0274;498075
uf50-0275;2459769
uf50-0276;1004447
uf50-0277;10163434
uf50-0278;3614513
uf50-0279;3920401
uf50-027;5848116
uf50-0280;4391842
uf50-0281;5812472
uf50-0282;5209792
uf50-0283;2285337
uf50-0284;1135290
uf50-0285;1833643
uf50-0286;1825122
uf50-0287;5531493
uf50-0288;4298429
uf50-0289;780162
uf50-028;7036225
uf50-0290;2333752
uf50-0291;8833654
