instance;sol#
uf50-01000;44
uf50-0100;1
uf50-0101;20
uf50-0102;51
uf50-0103;1280
uf50-0104;40
uf50-0105;179
uf50-0106;6
uf50-0107;16
uf50-0108;269
uf50-0109;594
uf50-010;156
uf50-0110;66
uf50-0111;8
uf50-0112;18
uf50-0113;74
uf50-0114;1704
uf50-0115;235
uf50-0116;288
uf50-0117;4913
uf50-0118;15
uf50-0119;77
uf50-011;8
uf50-0120;8
uf50-0121;3
uf50-0122;357
uf50-0123;180
uf50-0124;61
uf50-0125;11
uf50-0126;61
uf50-0127;32
uf50-0128;12
uf50-0129;6
uf50-012;350
uf50-0130;16
uf50-0131;1834
uf50-0132;372
uf50-0133;6
uf50-0134;8
uf50-0135;793
uf50-0136;11566
uf50-0137;222
uf50-0138;30
uf50-0139;24
uf50-013;175
uf50-0140;239
uf50-0141;842
uf50-0142;12
uf50-0143;63
uf50-0144;10
uf50-0145;14
uf50-0146;4
uf50-0147;32
uf50-0148;4
uf50-0149;1485
uf50-014;77
uf50-0150;737
uf50-0151;4
uf50-0152;129
uf50-0153;16
uf50-0154;28
uf50-0155;4
uf50-0156;138
uf50-0157;2537
uf50-0158;24
uf50-0159;15
uf50-015;264
uf50-0160;103
uf50-0161;156
uf50-0162;10
uf50-0163;16
uf50-0164;16
uf50-0165;62
uf50-0166;61
uf50-0167;356
uf50-0168;48
uf50-0169;979
uf50-016;115
uf50-0170;59
uf50-0171;94
uf50-0172;16
uf50-0173;22
uf50-0174;159
uf50-0175;36
uf50-0176;2
uf50-0177;24
uf50-0178;5648
uf50-0179;36
uf50-017;33
uf50-0180;20
uf50-0181;2
uf50-0182;30
uf50-0183;6156
uf50-0184;40
uf50-0185;916
uf50-0186;30
uf50-0187;55
uf50-0188;154
uf50-0189;50
uf50-018;1714
uf50-0190;438
uf50-0191;5
uf50-0192;187
uf50-0193;200
uf50-0194;2
uf50-0195;365
uf50-0196;100
uf50-0197;4
uf50-0198;702
uf50-0199;209
uf50-019;12
uf50-01;24
uf50-0200;48
uf50-0201;142
uf50-0202;24
uf50-0203;6
uf50-0204;4
uf50-0205;237
uf50-0206;2558
uf50-0207;552
uf50-0208;20
uf50-0209;10
uf50-020;195
uf50-0210;83
uf50-0211;22
uf50-0212;158
uf50-0213;183
uf50-0214;70
uf50-0215;128
uf50-0216;124
uf50-0217;3
uf50-0218;288
uf50-0219;144
uf50-021;388
uf50-0220;76
uf50-0221;8
uf50-0222;352
uf50-0223;12
uf50-0224;190
uf50-0225;16
uf50-0226;22
uf50-0227;142
uf50-0228;12
uf50-0229;227
uf50-022;7
uf50-0230;64
uf50-0231;138
uf50-0232;391
uf50-0233;305
uf50-0234;900
uf50-0235;12
uf50-0236;2862
uf50-0237;796
uf50-0238;1306
uf50-0239;456
uf50-023;558
uf50-0240;16
uf50-0241;3
uf50-0242;1154
uf50-0243;81
uf50-0244;1747
uf50-0245;108
uf50-0246;304
uf50-0247;89
uf50-0248;2
uf50-0249;11
uf50-024;18
uf50-0250;1952
uf50-0251;3722
uf50-0252;1658
uf50-0253;17
uf50-0254;944
uf50-0255;18
uf50-0256;305
uf50-0257;112
uf50-0258;6
uf50-0259;9955
uf50-025;6
uf50-0260;796
uf50-0261;44
uf50-0262;24
uf50-0263;12
uf50-0264;3374
uf50-0265;264
uf50-0266;28
uf50-0267;4
uf50-0268;41
uf50-0269;355
uf50-026;68
uf50-0270;2
uf50-0271;32
uf50-0272;74
uf50-0273;336
uf50-0274;8
uf50-0275;254
uf50-0276;34
uf50-0277;118
uf50-0278;1545
uf50-0279;14
uf50-027;1414
uf50-0280;57
uf50-0281;278
uf50-0282;104
uf50-0283;584
uf50-0284;8
uf50-0285;780
uf50-0286;12
uf50-0287;78
uf50-0288;1152
uf50-0289;6
uf50-028;443
uf50-0290;117
uf50-0291;1017
uf50-0292;39
uf50-0293;184
uf50-0294;376
uf50-0295;50
uf50-0296;12
uf50-0297;36
uf50-0298;208
uf50-0299;78
uf50-029;18
uf50-02;6
uf50-0300;588
uf50-0301;24
uf50-0302;14
uf50-0303;288
uf50-0304;139
uf50-0305;873
uf50-0306;184
uf50-0307;132
uf50-0308;20
uf50-0309;12
uf50-030;2
uf50-0310;410
uf50-0311;4
uf50-0312;18
uf50-0313;40
uf50-0314;619
uf50-0315;88
uf50-0316;458
uf50-0317;230
uf50-0318;31
uf50-0319;15
uf50-031;96
uf50-0320;393
uf50-0321;56
uf50-0322;27
uf50-0323;184
uf50-0324;10
uf50-0325;2
uf50-0326;18
uf50-0327;24
uf50-0328;269
uf50-0329;80
uf50-032;122
uf50-0330;138
uf50-0331;6
uf50-0332;196
uf50-0333;14
uf50-0334;2596
uf50-0335;1460
uf50-0336;32
uf50-0337;10
uf50-0338;250
uf50-0339;28
uf50-033;151
uf50-0340;151
uf50-0341;8
uf50-0342;212
uf50-0343;452
uf50-0344;2
uf50-0345;6
uf50-0346;6
uf50-0347;16
uf50-0348;566
uf50-0349;24
uf50-034;181
uf50-0350;34
uf50-0351;8
uf50-0352;8
uf50-0353;386
uf50-0354;73
uf50-0355;8
uf50-0356;54
uf50-0357;204
uf50-0358;8
uf50-0359;4
uf50-035;98
uf50-0360;2534
uf50-0361;2741
uf50-0362;12104
uf50-0363;24
uf50-0364;258
uf50-0365;136
uf50-0366;16
uf50-0367;4
uf50-0368;13
uf50-0369;4
uf50-036;32
uf50-0370;27
uf50-0371;229
uf50-0372;132
uf50-0373;39
uf50-0374;16
uf50-0375;436
uf50-0376;9
uf50-0377;1496
uf50-0378;1063
uf50-0379;25
uf50-037;31
uf50-0380;6
uf50-0381;4
uf50-0382;8
uf50-0383;52
uf50-0384;21
uf50-0385;1628
uf50-0386;718
uf50-0387;30
uf50-0388;265
uf50-0389;10
uf50-038;28
uf50-0390;19
uf50-0391;18
uf50-0392;36
uf50-0393;4
uf50-0394;48
uf50-0395;32
uf50-0396;80
uf50-0397;88
uf50-0398;86
uf50-0399;11
uf50-039;979
uf50-03;1362
uf50-0400;44
uf50-0401;280
uf50-0402;8
uf50-0403;32
uf50-0404;2076
uf50-0405;383
uf50-0406;516
uf50-0407;1088
uf50-0408;3
uf50-0409;418
uf50-040;857
uf50-0410;1
uf50-0411;84
uf50-0412;36
uf50-0413;436
uf50-0414;41
uf50-0415;96
uf50-0416;189
uf50-0417;779
uf50-0418;2
uf50-0419;10
uf50-041;12
uf50-0420;4
uf50-0421;120
uf50-0422;34
uf50-0423;181
uf50-0424;1000
uf50-0425;104
uf50-0426;22
uf50-0427;14
uf50-0428;58
uf50-0429;8
uf50-042;8
uf50-0430;2
uf50-0431;533
uf50-0432;1425
uf50-0433;56
uf50-0434;46
uf50-0435;24
uf50-0436;16
uf50-0437;83
uf50-0438;16
uf50-0439;3629
uf50-043;38
uf50-0440;27
uf50-0441;1
uf50-0442;6
uf50-0443;40
uf50-0444;102
uf50-0445;226
uf50-0446;50
uf50-0447;1
uf50-0448;8
uf50-0449;97
uf50-044;95
uf50-0450;45
uf50-0451;24
uf50-0452;16
uf50-0453;56
uf50-0454;52
uf50-0455;2
uf50-0456;224
uf50-0457;5081
uf50-0458;2474
uf50-0459;245
uf50-045;35
uf50-0460;128
uf50-0461;3075
uf50-0462;1239
uf50-0463;25
uf50-0464;18
uf50-0465;2
uf50-0466;30
uf50-0467;2
uf50-0468;168
uf50-0469;324
